Documento 0:
Índice	Término			TF	IDF	TF-IDF
0	aromas			1	0.39794	0.39794	
1	include			1	1.00000	1.00000	
2	tropical		1	1.00000	1.00000	
3	fruit			1	0.69897	0.69897	
4	broom			1	1.00000	1.00000	
5	brimstone		1	1.00000	1.00000	
6	and			2	0.00000	0.00000	
7	dried			2	0.69897	1.39794	
8	herb			1	0.69897	0.69897	
9	the			1	0.22185	0.22185	
10	palate			1	0.52288	0.52288	
11	isn't			1	1.00000	1.00000	
12	overly			1	1.00000	1.00000	
13	expressive		1	1.00000	1.00000	
14	offering		1	1.00000	1.00000	
15	unripened		1	1.00000	1.00000	
16	apple			1	0.69897	0.69897	
17	citrus			1	1.00000	1.00000	
18	sage			1	1.00000	1.00000	
19	alongside		1	1.00000	1.00000	
20	brisk			1	0.69897	0.69897	
21	acidity			1	0.15490	0.15490	
22	this			0	0.22185	0.00000	
23	is			0	0.52288	0.00000	
24	ripe			0	1.00000	0.00000	
25	fruity			0	0.69897	0.00000	
26	a			0	0.15490	0.00000	
27	wine			0	0.30103	0.00000	
28	that			0	0.69897	0.00000	
29	smooth			0	1.00000	0.00000	
30	while			0	0.52288	0.00000	
31	still			0	1.00000	0.00000	
32	structured		0	1.00000	0.00000	
33	firm			0	0.69897	0.00000	
34	tannins			0	0.69897	0.00000	
35	are			0	1.00000	0.00000	
36	filled			0	1.00000	0.00000	
37	out			0	1.00000	0.00000	
38	with			0	0.04576	0.00000	
39	juicy			0	1.00000	0.00000	
40	red			0	0.69897	0.00000	
41	berry			0	0.69897	0.00000	
42	fruits			0	0.69897	0.00000	
43	freshened		0	1.00000	0.00000	
44	it's			0	0.22185	0.00000	
45	already			0	1.00000	0.00000	
46	drinkable		0	1.00000	0.00000	
47	although		0	1.00000	0.00000	
48	it			0	0.69897	0.00000	
49	will			0	1.00000	0.00000	
50	certainly		0	1.00000	0.00000	
51	be			0	1.00000	0.00000	
52	better			0	1.00000	0.00000	
53	from			0	0.69897	0.00000	
54	2016			0	1.00000	0.00000	
55	tart			0	1.00000	0.00000	
56	snappy			0	1.00000	0.00000	
57	flavors			0	0.52288	0.00000	
58	of			0	0.15490	0.00000	
59	lime			0	1.00000	0.00000	
