Documento 0:
Índice	Término			TF	IDF	TF-IDF
0	red			0.06250	0.82391	0.05149	
1	cherry			0.06250	1.30103	0.08131	
2	fruit			0.06250	0.30103	0.01881	
3	comes			0.06250	1.00000	0.06250	
4	laced			0.06250	1.30103	0.08131	
5	with			0.06250	0.15490	0.00968	
6	light			0.06250	1.30103	0.08131	
7	tannins			0.06250	0.69897	0.04369	
8	giving			0.06250	1.00000	0.06250	
9	this			0.06250	0.04576	0.00286	
10	bright			0.06250	0.82391	0.05149	
11	wine			0.06250	0.25964	0.01623	
12	an			0.06250	0.82391	0.05149	
13	open			0.06250	1.00000	0.06250	
14	juicy			0.06250	0.82391	0.05149	
15	character		0.06250	1.00000	0.06250	


Documento 1:
Índice	Término			TF	IDF	TF-IDF
16	merlot			0.03030	1.30103	0.03943	
17	and			0.09091	0.02228	0.00203	
18	nero			0.03030	1.30103	0.03943	
19	d'avola			0.03030	1.30103	0.03943	
20	form			0.03030	1.30103	0.03943	
21	the			0.09091	0.22185	0.02017	
22	base			0.03030	1.30103	0.03943	
23	for			0.03030	1.30103	0.03943	
9	this			0.03030	0.04576	0.00139	
24	easy			0.03030	1.30103	0.03943	
0	red			0.03030	0.82391	0.02497	
11	wine			0.03030	0.25964	0.00787	
25	that			0.03030	0.60206	0.01824	
26	would			0.03030	1.00000	0.03030	
27	pair			0.03030	0.69897	0.02118	
5	with			0.03030	0.15490	0.00469	
28	fettuccine		0.03030	1.30103	0.03943	
29	meat			0.03030	1.00000	0.03030	
30	sauce			0.03030	1.00000	0.03030	
31	or			0.03030	0.82391	0.02497	
32	pork			0.03030	1.30103	0.03943	
33	roast			0.03030	1.30103	0.03943	
34	quality			0.03030	1.00000	0.03030	
35	of			0.03030	0.09691	0.00294	
2	fruit			0.03030	0.30103	0.00912	
36	is			0.03030	0.22185	0.00672	
37	clean			0.03030	0.82391	0.02497	
10	bright			0.03030	0.82391	0.02497	
38	sharp			0.03030	1.30103	0.03943	


Documento 2:
Índice	Término			TF	IDF	TF-IDF
39	part			0.03125	1.00000	0.03125	
35	of			0.09375	0.09691	0.00909	
21	the			0.06250	0.22185	0.01387	
40	extended		0.03125	1.30103	0.04066	
41	calanìca		0.03125	1.30103	0.04066	
42	series			0.03125	1.30103	0.04066	
9	this			0.03125	0.04576	0.00143	
43	grillo-viognier		0.03125	1.30103	0.04066	
44	blend			0.03125	0.82391	0.02575	
45	shows			0.06250	0.82391	0.05149	
46	aromas			0.03125	0.60206	0.01881	
47	honeysuckle		0.03125	1.30103	0.04066	
